Patient State,Patient District,Recovered Cases,Deceased Cases,Confirmed Cases,ISOCode,Zone,Type
Uttar Pradesh,Bahraich,0,0,15,IN-UP,Northern,State
Uttar Pradesh,Balrampur,1,0,2,IN-UP,Northern,State
Uttar Pradesh,Banda,3,0,18,IN-UP,Northern,State
Uttar Pradesh,Barabanki,0,0,2,IN-UP,Northern,State
Uttar Pradesh,Bareilly,0,1,11,IN-UP,Northern,State
Uttar Pradesh,Basti,15,1,36,IN-UP,Northern,State
Uttar Pradesh,Bhadohi,1,0,2,IN-UP,Northern,State
Uttar Pradesh,Bijnor,21,1,33,IN-UP,Northern,State
Uttar Pradesh,Budaun,4,0,16,IN-UP,Northern,State
Uttar Pradesh,Bulandshahr,16,1,57,IN-UP,Northern,State
Uttar Pradesh,Chitrakoot,0,0,3,IN-UP,Northern,State
Uttar Pradesh,Deoria,0,0,2,IN-UP,Northern,State
Uttar Pradesh,Etah,3,1,12,IN-UP,Northern,State
Uttar Pradesh,Etawah,2,0,3,IN-UP,Northern,State
Uttar Pradesh,Firozabad,57,2,178,IN-UP,Northern,State
Uttar Pradesh,Gautam Buddha Nagar,50,0,193,IN-UP,Northern,State
Uttar Pradesh,Ghaziabad,41,2,116,IN-UP,Northern,State
Uttar Pradesh,Ghazipur,1,0,7,IN-UP,Northern,State
Uttar Pradesh,Gonda,1,0,10,IN-UP,Northern,State
Uttar Pradesh,Gorakhpur,0,0,3,IN-UP,Northern,State
Uttar Pradesh,Hapur,15,0,54,IN-UP,Northern,State
Uttar Pradesh,Hardoi,0,0,2,IN-UP,Northern,State
Uttar Pradesh,Hathras,0,0,9,IN-UP,Northern,State
Uttar Pradesh,Jalaun,0,0,8,IN-UP,Northern,State
Uttar Pradesh,Jaunpur,1,0,8,IN-UP,Northern,State
Uttar Pradesh,Jhansi,0,1,15,IN-UP,Northern,State
Uttar Pradesh,Kannauj,4,0,7,IN-UP,Northern,State
Uttar Pradesh,Kanpur Dehat,0,1,2,IN-UP,Northern,State
Uttar Pradesh,Kanpur Nagar,44,4,292,IN-UP,Northern,State
Uttar Pradesh,Kasganj,3,0,3,IN-UP,Northern,State
Uttar Pradesh,Kaushambi,0,0,2,IN-UP,Northern,State
Uttar Pradesh,Kushinagar,0,0,2,IN-UP,Northern,State
Uttar Pradesh,Lakhimpur Kheri,1,0,4,IN-UP,Northern,State
Uttar Pradesh,Lucknow,132,1,234,IN-UP,Northern,State
Uttar Pradesh,Maharajganj,0,0,7,IN-UP,Northern,State
Uttar Pradesh,Mahoba,0,0,2,IN-UP,Northern,State
Uttar Pradesh,Mainpuri,4,1,11,IN-UP,Northern,State
Uttar Pradesh,Mathura,5,4,37,IN-UP,Northern,State
Uttar Pradesh,mathura,5,4,37,IN-UP,Northern,State
Uttar Pradesh,Mau,1,0,1,IN-UP,Northern,State
Uttar Pradesh,Meerut,38,7,184,IN-UP,Northern,State
Uttar Pradesh,Mirzapur,2,0,4,IN-UP,Northern,State
Uttar Pradesh,Moradabad,74,5,120,IN-UP,Northern,State
Uttar Pradesh,Muzaffarnagar,16,0,26,IN-UP,Northern,State
Uttar Pradesh,Pilibhit,1,0,3,IN-UP,Northern,State
Uttar Pradesh,Pratapgarh,0,0,12,IN-UP,Northern,State
Uttar Pradesh,Prayagraj,0,1,15,IN-UP,Northern,State
Uttar Pradesh,Rae Bareli,8,0,47,IN-UP,Northern,State
Uttar Pradesh,Rampur,12,0,27,IN-UP,Northern,State
Uttar Pradesh,Saharanpur,102,0,205,IN-UP,Northern,State
Uttar Pradesh,Sambhal,6,0,22,IN-UP,Northern,State
Uttar Pradesh,Sant Kabir Nagar,2,0,29,IN-UP,Northern,State
Uttar Pradesh,Shahjahanpur,0,0,1,IN-UP,Northern,State
Uttar Pradesh,Shamli,10,0,26,IN-UP,Northern,State
Uttar Pradesh,Shrawasti,0,1,8,IN-UP,Northern,State
Uttar Pradesh,Siddharthnagar,0,0,20,IN-UP,Northern,State
Uttar Pradesh,Sitapur,5,0,17,IN-UP,Northern,State
Uttar Pradesh,Sultanpur,0,0,3,IN-UP,Northern,State
Uttar Pradesh,Unnao,1,0,3,IN-UP,Northern,State
Uttar Pradesh,Varanasi,13,1,76,IN-UP,Northern,State
Uttarakhand,,26,0,3,IN-UT,Northern,State
Uttarakhand,Almora,0,0,1,IN-UT,Northern,State
Uttarakhand,Dehradun,6,1,31,IN-UT,Northern,State
Uttarakhand,Haridwar,5,0,7,IN-UT,Northern,State
Uttarakhand,Nainital,2,0,10,IN-UT,Northern,State
Uttarakhand,Pauri Garhwal,0,0,1,IN-UT,Northern,State
Uttarakhand,Udham Singh Nagar,0,0,8,IN-UT,Northern,State
West Bengal,,0,-5,361,IN-WB,Eastern,State
West Bengal,Birbhum,0,0,6,IN-WB,Eastern,State
West Bengal,Darjeeling,5,1,3,IN-WB,Eastern,State
West Bengal,Hooghly,9,4,38,IN-WB,Eastern,State
West Bengal,Howrah,23,20,246,IN-WB,Eastern,State
West Bengal,Jalpaiguri,4,0,-1,IN-WB,Eastern,State
West Bengal,Kalimpong,6,2,1,IN-WB,Eastern,State
West Bengal,Kolkata,149,101,610,IN-WB,Eastern,State
West Bengal,Malda,0,0,3,IN-WB,Eastern,State
West Bengal,Murshidabad,0,1,-1,IN-WB,Eastern,State
West Bengal,Nadia,8,0,7,IN-WB,Eastern,State
West Bengal,North 24 Parganas,48,22,177,IN-WB,Eastern,State
West Bengal,Other State,0,1,14,IN-WB,Eastern,State
West Bengal,Paschim Bardhaman,6,2,4,IN-WB,Eastern,State
West Bengal,Paschim Medinipur,3,0,17,IN-WB,Eastern,State
West Bengal,Purba Bardhaman,2,0,3,IN-WB,Eastern,State
West Bengal,Purba Medinipur,23,1,20,IN-WB,Eastern,State
West Bengal,South 24 Parganas,10,1,40,IN-WB,Eastern,State
