#186,GJ,Gujarat,GJ_Tapi,Tapi,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#187,GJ,Gujarat,GJ_Dang,Dang,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
###188,GJ,Gujarat,GJ_Vadodara,Vadodara,234.0,166.0,56.0,12.0,12.0,231.0,53.0,3.0,3.0,0.0
#189,GJ,Gujarat,GJ_Valsad,Valsad,5.0,4.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0
190,HR,Haryana,HR_Ambala,Ambala,13.0,2.0,10.0,1.0,0.0,13.0,10.0,0.0,0.0,1.0
191,HR,Haryana,HR_Bhiwani,Bhiwani,3.0,1.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0
192,HR,Haryana,HR_Charkhi Dadri,Charkhi Dadri,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
193,HR,Haryana,HR_Faridabad,Faridabad,45.0,16.0,29.0,0.0,0.0,45.0,28.0,0.0,1.0,0.0
194,HR,Haryana,HR_Fatehabad,Fatehabad,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
195,HR,Haryana,HR_Gurugram,Gurugram,51.0,16.0,35.0,0.0,0.0,51.0,35.0,0.0,0.0,0.0
196,HR,Haryana,HR_Hisar,Hisar,4.0,2.0,2.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0
198,HR,Haryana,HR_Jind,Jind,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
199,HR,Haryana,HR_Kaithal,Kaithal,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
200,HR,Haryana,HR_Karnal,Karnal,6.0,0.0,5.0,1.0,1.0,6.0,5.0,0.0,0.0,0.0
201,HR,Haryana,HR_Kurukshetra,Kurukshetra,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
